STATE_ABBR,COUNTY,TOTAL_POPULATION,POP_ONE_RACE,WHITE,BLACK,AMARICAN_INDIAN,ASIAN,HAWAIIAN,OTHER
CO,Gunnison County,16918,15744,14652,88,203,122,7,672
CO,Hinsdale County,788,730,706,8,6,3,1,6
CO,Huerfano County,6820,5800,4997,65,175,31,0,532
CO,Jackson County,1379,1267,1199,0,14,2,2,50
CO,Jefferson County,582910,519938,460764,7356,6039,18157,536,27086
CO,Kiowa County,1446,1324,1290,4,0,9,1,20
CO,Kit Carson County,7087,6372,5649,24,45,31,10,613
CO,Lake County,7436,6323,4996,38,157,67,8,1057
CO,La Plata County,55638,50626,44366,205,3342,397,36,2280
CO,Larimer County,359066,325346,295995,3815,2878,8538,325,13795
CO,Las Animas County,14555,12351,10035,211,367,116,19,1603
CO,Lincoln County,5675,5311,4397,275,75,47,24,493
CO,Logan County,21528,20026,17261,765,231,128,23,1618
CO,Mesa County,155703,140549,127970,1151,1723,1676,208,7821
CO,Mineral County,865,801,789,3,6,3,0,0
CO,Moffat County,13292,11949,10872,77,155,54,2,789
CO,Montezuma County,25849,23646,18958,80,3342,143,28,1095
CO,Montrose County,42679,38397,33395,181,577,338,36,3870
CO,Morgan County,29111,25153,19184,975,404,157,11,4422
CO,Otero County,18690,15873,12847,165,376,101,28,2356
CO,Ouray County,4874,4553,4396,16,16,28,4,93
CO,Park County,17390,16027,15318,94,167,104,9,335
CO,Phillips County,4530,4075,3500,19,52,22,2,480
CO,Pitkin County,17358,16119,14797,106,76,290,14,836
CO,Prowers County,11999,10468,8131,109,275,31,6,1916
CO,Pueblo County,168162,138478,108805,3642,3867,1730,208,20226
CO,Rio Blanco County,6529,6079,5699,34,58,22,2,264
CO,Rio Grande County,11539,9825,8093,61,288,42,9,1332
CO,Routt County,24829,23004,21726,156,116,176,38,792
CO,Saguache County,6368,5071,4209,20,192,63,2,585
CO,San Juan County,705,628,606,3,6,2,0,11
CO,San Miguel County,8072,7487,6922,21,92,55,2,395
CO,Sedgwick County,2404,2220,2062,5,19,12,1,121
CO,Summit County,31055,28429,24751,247,253,418,32,2728
CO,Teller County,24710,22505,21566,135,182,212,12,398
CO,Washington County,4817,4473,4230,32,20,19,14,158
CO,Weld County,328981,283696,231892,4539,4274,5857,365,36769
